시간,계정명,당기금액
2020-12-31,유동성장기부채,716099000000
2020-12-31,충당부채,4349563000000
2020-12-31,기타유동부채,1127719000000
2020-12-31,매각예정분류부채,338742000000
2020-12-31,비유동부채,26683351000000
2020-12-31,사채,948137000000
2020-12-31,장기차입금,1999716000000
2020-12-31,장기미지급금,1682910000000
2020-12-31,순확정급여부채,464458000000
2020-12-31,이연법인세부채,18810845000000
2020-12-31,장기충당부채,1051428000000
2020-12-31,기타비유동부채,1725857000000
2020-12-31,부채총계,102287702000000
2020-12-31,지배기업 소유주지분,267670331000000
2020-12-31,자본금,897514000000
2020-12-31,우선주자본금,119467000000
2020-12-31,보통주자본금,778047000000
2020-12-31,주식발행초과금,4403893000000
2020-12-31,이익잉여금(결손금),271068211000000
2020-12-31,기타자본항목,-8687155000000
2020-12-31,매각예정분류기타자본항목,-12132000000
2020-12-31,비지배지분,8277685000000
2020-12-31,자본총계,275948016000000
2020-12-31,부채와자본총계,378235718000000
2020-12-31,수익(매출액),236806988000000
2020-12-31,매출원가,144488296000000
2020-12-31,매출총이익,92318692000000
2020-12-31,판매비와관리비,56324816000000
2020-12-31,영업이익,35993876000000
2020-12-31,기타수익,1384068000000
2020-12-31,기타비용,2488902000000
2020-12-31,지분법이익,506530000000
2020-12-31,금융수익,12267600000000
2020-12-31,금융비용,11318055000000
2020-12-31,법인세비용차감전순이익(손실),36345117000000
2020-12-31,법인세비용,9937285000000
2020-12-31,계속영업이익(손실),26407832000000
2020-12-31,당기순이익(손실),26407832000000
2020-12-31,지배기업의 소유주에게 귀속되는 당기순이익(손실),26090846000000
2020-12-31,비지배지분에 귀속되는 당기순이익(손실),316986000000
2020-12-31,기본주당이익(손실),3841
2020-12-31,희석주당이익(손실),3841
2020-12-31,당기순이익(손실),26407832000000
2020-12-31,기타포괄손익,-3673905000000
2020-12-31,후속적으로 당기손익으로 재분류되지 않는 포괄손익,1788764000000
2020-12-31,기타포괄손익-공정가치금융자산평가손익,2502733000000
2020-12-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,5591000000
2020-12-31,순확정급여부채(자산) 재측정요소,-719560000000
2020-12-31,후속적으로 당기손익으로 재분류되는 포괄손익,-5462669000000
2020-12-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-48888000000
2020-12-31,해외사업장환산외환차이,-5380375000000
2020-12-31,현금흐름위험회피파생상품평가손익,-33406000000
2020-12-31,총포괄손익,22733927000000
2020-12-31,지배기업 소유주지분,22374398000000
2020-12-31,비지배지분,359529000000
