,시간,계정명,당기금액
현대차,2020-09-30,비유동자산,"53,652,949,000,000"
현대차,2020-09-30,자산총계,"76,622,608,000,000"
현대차,2020-09-30,유동부채,"16,009,664,000,000"
현대차,2020-09-30,비유동부채,"6,988,242,000,000"
현대차,2020-09-30,부채총계,"22,997,906,000,000"
현대차,2020-09-30,자본금,"1,488,993,000,000"
현대차,2020-09-30,이익잉여금,"49,925,195,000,000"
현대차,2020-09-30,자본총계,"53,624,702,000,000"
현대차,2020-12-31,유동자산,"83,686,357,000,000"
현대차,2020-12-31,비유동자산,"125,657,855,000,000"
현대차,2020-12-31,자산총계,"209,344,212,000,000"
현대차,2020-12-31,유동부채,"59,459,528,000,000"
현대차,2020-12-31,비유동부채,"73,543,714,000,000"
현대차,2020-12-31,부채총계,"133,003,242,000,000"
현대차,2020-12-31,자본금,"1,488,993,000,000"
현대차,2020-12-31,이익잉여금,"68,911,800,000,000"
현대차,2020-12-31,자본총계,"76,340,970,000,000"
현대차,2020-12-31,매출액,"103,997,601,000,000"
현대차,2020-12-31,영업이익,"2,394,671,000,000"
현대차,2020-12-31,법인세차감전 순이익,"2,093,256,000,000"
현대차,2020-12-31,유동자산,"24,612,104,000,000"
현대차,2020-12-31,비유동자산,"54,038,579,000,000"
현대차,2020-12-31,자산총계,"78,650,683,000,000"
현대차,2020-12-31,유동부채,"17,709,438,000,000"
현대차,2020-12-31,비유동부채,"7,354,342,000,000"
현대차,2020-12-31,부채총계,"25,063,780,000,000"
현대차,2020-12-31,자본금,"1,488,993,000,000"
현대차,2020-12-31,이익잉여금,"49,631,113,000,000"
현대차,2020-12-31,자본총계,"53,586,903,000,000"
